,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
140378,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,B,B,A,A,A,A,A,C,D,D,E,A,A,P,J,C,A,A,F,G,G,F,D,BI,CL,A,E,H,A,K,GS,0.503312,0.737068,0.692825,0.284048,0.281143,0.442105,0.881611,0.24123,0.53565,0.50556,0.569745,0.55738,0.336261,0.811219,1666.12
140833,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,D,C,A,A,A,A,A,D,B,C,E,C,D,T,B,A,A,A,G,E,F,H,K,BI,W,G,E,N,A,L,HK,0.61434,0.422197,0.57136,0.54456,0.413817,0.732651,0.621893,0.35533,0.58937,0.81591,0.644013,0.630853,0.617748,0.799182,2197.22
141281,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,D,C,E,C,D,T,B,A,A,D,E,E,G,H,K,BI,CS,A,C,BM,A,L,DS,0.472892,0.737068,0.484196,0.442784,0.281143,0.516811,0.518282,0.80058,0.44352,0.63026,0.385085,0.377003,0.51666,0.771665,5226.55
141307,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,A,A,D,D,D,E,A,A,P,I,A,A,A,F,F,G,F,D,BI,BT,A,AS,AT,F,K,HC,0.478678,0.245921,0.527991,0.309621,0.364322,0.458113,0.904787,0.45883,0.4895,0.40131,0.535044,0.523266,0.30435,0.708288,2324.99
141516,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,A,A,A,B,F,G,I,F,B,BI,BT,A,F,AE,A,K,GS,0.478678,0.245921,0.484196,0.309621,0.61906,0.290374,0.381301,0.26847,0.39447,0.37493,0.453334,0.443374,0.310026,0.740671,811.69
141930,B,B,B,A,A,A,B,A,B,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,B,C,B,B,B,A,B,B,B,H,C,D,D,E,C,A,P,F,I,A,A,E,F,H,F,B,BI,CS,A,AS,AE,A,K,DJ,0.54667,0.737068,0.634224,0.373816,0.867056,0.357412,0.409251,0.26847,0.46226,0.50556,0.366788,0.359249,0.345247,0.713155,6690
142457,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,A,D,D,D,E,C,A,P,K,A,A,A,E,F,H,F,B,BI,CS,A,E,AE,E,K,DJ,0.54667,0.737068,0.634224,0.373816,0.867056,0.357412,0.409251,0.26847,0.46226,0.50556,0.366788,0.359249,0.345247,0.797987,768.77
142501,B,B,A,B,B,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,A,D,D,A,A,C,B,B,B,A,A,A,A,A,C,D,D,E,A,A,P,I,Q,A,B,G,G,F,F,D,BI,BT,C,J,AG,A,L,HK,0.54667,0.620805,0.728827,0.208655,0.281143,0.550748,0.848834,0.32317,0.54609,0.41743,0.727671,0.714544,0.385406,0.391797,3593.17
142522,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,C,B,B,C,B,B,B,A,A,A,C,A,C,B,D,E,E,A,P,O,A,A,A,D,E,K,G,B,AR,T,G,AF,AX,E,K,CK,0.3153,0.422197,0.54977,0.422727,0.281143,0.197932,0.279299,0.41762,0.26401,0.23545,0.207238,0.204687,0.271571,0.220613,2398.81
142866,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,D,D,D,A,A,C,B,D,B,A,A,A,A,A,C,C,C,E,E,D,T,I,A,A,A,G,E,H,J,K,BI,CS,A,AH,L,E,O,HJ,0.470002,0.620805,0.230975,0.652072,0.388783,0.498883,0.41955,0.93595,0.5105,0.43373,0.396226,0.387819,0.633362,0.25217,528.94
142900,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,A,B,B,D,B,D,A,A,A,A,C,C,C,E,E,C,T,K,A,A,A,E,D,I,I,G,BI,BC,A,AD,AX,C,P,DP,0.70022,0.488789,0.37718,0.452887,0.281143,0.491827,0.364568,0.60087,0.7628,0.51111,0.288058,0.282971,0.712318,0.798994,3997.03
143202,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,G,H,D,D,D,E,C,A,P,F,A,A,A,G,I,G,F,D,BI,BT,C,J,AG,A,K,HV,0.444104,0.681761,0.865911,0.222469,0.281143,0.46425,0.683097,0.36636,0.5042,0.34928,0.853569,0.852865,0.318646,0.381453,1657.15
143404,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,C,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,H,A,A,D,F,F,G,E,D,BI,DK,A,AH,AN,A,J,GS,0.490265,0.078346,0.484196,0.189137,0.281143,0.382348,0.590449,0.25461,0.36091,0.38541,0.453334,0.443374,0.256038,0.255074,466.79
143683,A,B,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,C,B,C,E,E,D,T,I,D,A,A,D,E,L,L,K,AB,DX,A,AI,BM,J,P,CR,0.192978,0.299102,0.634224,0.54456,0.281143,0.237504,0.329149,0.58934,0.23569,0.27777,0.269248,0.26476,0.592264,0.342176,400.63
143878,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,N,F,A,A,I,G,F,J,E,BI,AC,A,U,H,A,O,KR,0.397499,0.422197,0.634224,0.318422,0.295397,0.753304,0.830652,0.53046,0.479,0.56081,0.853569,0.843026,0.648701,0.295602,3565.76
143905,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,D,A,A,D,E,G,G,B,BI,W,C,K,F,A,K,CO,0.334375,0.358319,0.909173,0.354893,0.332785,0.413612,0.579185,0.42345,0.34365,0.33428,0.341813,0.335036,0.290422,0.361288,1012.03
144013,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,D,B,A,A,A,A,A,C,C,C,E,C,D,T,J,A,A,A,H,G,G,L,K,BI,CS,A,AP,L,F,Q,IG,0.513457,0.488789,0.527991,0.753703,0.281143,0.698452,0.527762,0.87698,0.521,0.60932,0.774247,0.761665,0.824432,0.357771,951.27
144368,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,D,B,A,A,A,A,A,C,D,C,E,E,D,T,I,A,A,A,E,E,I,K,K,BI,CQ,C,AD,BM,F,O,DP,0.330514,0.785784,0.592681,0.614134,0.874863,0.400555,0.413313,0.58934,0.35127,0.43919,0.374064,0.366307,0.611431,0.793257,1417.31
145052,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,B,B,B,A,B,D,B,D,A,A,G,H,D,B,C,B,G,C,T,F,A,A,B,M,F,E,H,G,BI,EG,A,J,L,C,P,KA,0.936584,0.422197,0.139862,0.661283,0.281143,0.90445,0.643111,0.82939,0.96909,0.82889,0.797841,0.810292,0.867611,0.380023,1689.29
145242,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,A,D,D,B,B,C,B,B,B,A,A,A,C,A,D,D,D,E,C,A,P,M,C,A,A,F,H,G,F,D,BI,BT,A,AS,A,A,J,HB,0.477231,0.358319,0.80643,0.208655,0.281143,0.430536,0.664223,0.26847,0.41471,0.47779,0.711942,0.698722,0.30435,0.708254,6426.75
146755,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,A,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,A,A,A,B,G,F,G,I,E,BI,CL,A,AN,J,I,O,HQ,0.559571,0.620805,0.592681,0.452887,0.281143,0.649955,0.755145,0.37754,0.5914,0.5,0.661688,0.658814,0.657761,0.285773,1452.09
147008,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,B,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,G,A,A,A,D,E,J,G,B,BI,EG,G,AS,AE,A,K,CK,0.305371,0.620805,0.711159,0.412789,0.302678,0.220282,0.314608,0.27797,0.38249,0.31003,0.24541,0.241676,0.298734,0.709793,8587.37
147259,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,C,C,A,A,B,B,B,A,A,A,A,A,E,C,D,E,C,A,P,L,F,A,A,E,E,H,F,B,AB,EG,A,N,AW,A,K,DJ,0.493164,0.358319,0.506105,0.327354,0.543117,0.398017,0.318816,0.2638,0.42289,0.48889,0.307628,0.308395,0.339244,0.603613,614.16
147332,A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,E,A,P,I,G,A,B,D,E,K,H,B,AB,EG,A,J,BM,A,M,CK,0.325401,0.488789,0.54977,0.473202,0.758711,0.201125,0.260915,0.24564,0.30859,0.21983,0.207238,0.204687,0.351299,0.389489,371.61
147504,B,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,A,D,T,A,D,A,B,H,G,E,I,E,BI,CL,A,E,F,A,M,KL,0.632041,0.555782,0.792378,0.336414,0.456483,0.863178,0.804562,0.54829,0.62738,0.77245,0.895938,0.887214,0.675536,0.227719,1583.81
148003,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,D,C,E,E,D,T,L,D,A,A,G,H,I,J,K,BI,BP,A,AE,BM,A,O,HK,0.362003,0.555782,0.692825,0.564742,0.643315,0.424491,0.417148,0.60087,0.35127,0.43919,0.708732,0.695499,0.611431,0.190477,789.06
148248,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,G,H,D,B,D,E,C,A,P,K,A,A,A,D,D,H,E,B,BQ,U,A,E,BM,U,J,DC,0.465671,0.199504,0.336963,0.483397,0.689594,0.303881,0.356898,0.36083,0.36091,0.36458,0.225753,0.222634,0.26115,0.811601,5299.48
148911,A,A,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,A,C,B,D,B,A,A,B,A,A,D,D,C,E,C,D,T,K,A,B,A,G,F,G,J,K,BI,EF,A,AR,Y,E,M,HK,0.425579,0.681761,0.673861,0.809278,0.551723,0.608558,0.515324,0.92002,0.4832,0.67065,0.685687,0.682413,0.633362,0.414933,1462.5
149021,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,C,B,B,C,C,C,C,A,A,A,B,A,D,D,E,E,G,E,R,O,A,A,D,H,E,G,I,F,BI,EB,A,AH,S,A,N,HX,0.66248,0.620805,0.201309,0.761209,0.696981,0.674155,0.498179,0.5245,0.68419,0.72223,0.441763,0.432101,0.689974,0.237818,4846.61
149234,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,A,D,D,A,A,C,B,B,B,A,A,A,A,A,C,D,D,E,A,A,P,B,A,A,C,F,F,F,F,D,BI,EB,A,AW,F,A,K,GS,0.516355,0.358319,0.61366,0.383428,0.372405,0.539083,0.788903,0.39455,0.42905,0.42828,0.531161,0.519456,0.318646,0.837351,2322.39
149464,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,D,A,P,K,A,A,A,C,E,L,I,B,C,EL,A,AS,AK,R,M,CD,0.203108,0.737068,0.527991,0.18295,0.281143,0.171743,0.254402,0.25918,0.2418,0.2123,0.169206,0.167768,0.339244,0.725101,8307.85
149594,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,B,B,B,A,B,D,B,D,A,A,G,H,D,B,C,E,A,C,T,I,A,A,F,J,F,G,G,G,BI,EG,C,E,L,A,N,LF,0.893784,0.199504,0.280933,0.713852,0.281143,0.682622,0.417844,0.75964,0.93383,0.7877,0.711942,0.714544,0.751507,0.823299,6508.79
149605,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,D,B,B,D,D,D,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,I,A,A,B,D,F,I,K,K,BI,CL,A,AS,BN,E,O,EC,0.276672,0.785784,0.944251,0.432728,0.960658,0.421334,0.478328,0.56011,0.31039,0.42284,0.453334,0.443374,0.611431,0.732536,2109.34
149711,A,B,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,D,B,A,E,F,G,G,D,BI,EG,A,AP,AN,A,J,GI,0.348719,0.488789,0.777587,0.18295,0.281143,0.421908,0.631706,0.34987,0.40657,0.40666,0.468839,0.458493,0.287682,0.356111,1886.98
150461,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,E,D,T,K,A,A,A,E,E,K,O,K,K,EB,A,E,AE,C,R,DJ,0.222528,0.299102,0.484196,0.373816,0.288217,0.398298,0.347709,0.36636,0.29095,0.43919,0.307628,0.301921,0.814573,0.806825,709.19
150496,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,D,A,A,G,H,D,B,C,E,E,C,T,L,D,A,A,I,F,I,F,G,BI,CS,A,AH,L,A,O,IH,0.69163,0.299102,0.111114,0.493605,0.281143,0.361745,0.299758,0.48864,0.71422,0.26029,0.377724,0.40609,0.493334,0.253095,948.1
150772,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,C,C,A,B,D,B,A,A,A,G,H,D,D,C,E,C,D,T,O,C,A,A,F,F,F,I,E,BI,CL,A,O,J,A,M,GS,0.491714,0.785784,0.855403,0.336414,0.422268,0.670528,0.819764,0.54236,0.46853,0.64056,0.695685,0.682413,0.58904,0.488113,2525.87
150987,A,B,A,A,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,B,C,B,B,B,A,A,A,A,A,C,B,D,E,E,A,P,L,L,A,A,D,E,K,G,B,AB,C,A,A,BM,A,K,CK,0.273204,0.127059,0.484196,0.473202,0.704268,0.183419,0.240454,0.24564,0.22089,0.2123,0.192281,0.190178,0.226765,0.404947,2063.19
151533,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,A,E,E,H,F,B,BI,CL,A,AV,BN,C,K,FC,0.51056,0.827585,0.506105,0.442784,0.957946,0.347214,0.430767,0.38318,0.46644,0.47779,0.341813,0.335036,0.3574,0.313163,423.89
152018,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,A,D,B,C,E,C,A,D,I,A,A,A,G,E,G,E,A,BI,CS,I,AK,K,A,I,HJ,0.600512,0.199504,0.215772,0.83884,0.811271,0.394921,0.353778,0.24564,0.46853,0.50556,0.377724,0.369858,0.263731,0.475968,2587.54
152580,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,D,C,C,D,B,B,C,B,D,D,A,A,B,A,A,C,D,C,G,E,D,T,L,C,A,A,E,D,H,L,K,BI,EB,A,AN,Y,A,P,EN,0.281338,0.620805,0.484196,0.789639,0.281143,0.526788,0.529729,0.88205,0.32128,0.41743,0.291268,0.286079,0.663739,0.282574,8835.18
152623,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,C,A,D,D,C,E,C,D,T,J,D,A,A,H,F,F,J,K,BI,DL,A,AG,AF,A,N,HX,0.496063,0.620805,0.506105,0.259793,0.473767,0.701909,0.573642,0.32843,0.46644,0.70866,0.678924,0.665644,0.689974,0.782279,3610.07
